Sean Armistead - Liberal, Adam Bandt - The Greens, Cath Bowtell - Labor, James Mangisi - Sex Party
1,2,1,2,
1,2
3,4,5,4,
2,3,4,4
4,7,2,4
I,hate,youse,all
2,3,4,1
3,2,4,1
4,2,3,1
4,3,2,1
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,2,3,4
1,3,4,2
1,3,4,2
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,3,2,4
1,4,2,3
1,4,2,3
1,4,2,3
1,4,2,3
2,1,3,4
2,1,3,4
2,1,4,3
2,1,4,3
3,1,4,2
3,1,4,2
3,1,4,2
3,1,4,2
3,1,4,2
4,1,3,2
4,1,3,2
4,1,3,2
4,1,3,2
4,1,3,2
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
4,1,2,3
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
3,1,2,4
2,3,1,4
2,3,1,4
2,3,1,4
2,4,1,3
2,4,1,3
2,4,1,3
3,4,1,2
3,4,1,2
3,4,1,2
3,4,1,2
3,4,1,2
4,3,1,2
4,3,1,2
4,3,1,2
4,3,1,2
4,3,1,2
4,2,1,3
4,2,1,3
4,2,1,3
4,2,1,3
4,2,1,3
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
3,2,1,4
